Unique Int,Food Type Code,Food Type,Definition
118,800-064,International,"International Food should be applied to restaurants that serve a wide variety of combined national foods like Greek, French, Italian, and Portuguese and where it is based on the name or other verification, not possible to define a more specific Food Type."
119,800-065,Continental,Continental Food should be applied to restaurants within hotels in Europe when they do not fit in another Food Type.
120,800-066,Fusion,"Fusion should be applied to restaurants that serve cuisines from various regions together, or offer dishes prepared with elements of different regions. Examples are restaurants serving combined French-Chinese dishes or Italian-Mexican dishes."
121,800-067,Burgers,"Burgers should be applied to restaurants serving hamburgers and related foods like french fries, but in a sit-down environment (as opposed to Fast Food), e.g., Red Robin."
122,800-068,Creperie,Creperie should be applied to restaurants serving crepes which can be either savory or sweet. Creperies in France should usually be given the French Food Type.
123,800-069,Pastries,"Pastries should be applied to restaurants primarily serving baked goods such as pies, tarts, and quiches."
124,800-071,Fondue,"Fondue should be applied to restaurants that specialize in fondue which is a communal dish, often cheese, that is served over a burner at the table."
125,800-072,Brunch,Brunch should be applied to restaurants that specialize in a combination breakfast-lunch scenario.
126,800-073,Bistro,"Bistro should be applied to eating establishments serving moderately priced simple meals in a modest environment. The service is quicker and less formal than in a restaurant. Typical dishes in a Bistro Restaurant are classic dishes such as steak au poivre, onion soup, coq au vin. Note: This should not be coded in Canada, EMEA, Mexico, Puerto Rico, the U.S., and the U.S. Virgin Islands."
127,800-074,BrewPub,Brew Pub should be applied to restaurants which are well known because they have a beer brewery.
128,800-075,Seafood,Seafood should be applied to restaurants that mainly serve seafood and identify themselves as Seafood restaurants.
129,800-076,Vegan,Vegan Food should be applied to restaurants serving food identified as vegan that excludes all animal products. Note: See also Vegetarian Food.
130,800-077,Vegetarian,"Vegetarian Food should be applied to restaurants serving food identified as vegetarian. Vegetarian dishes do not contain meat. Some of the most common ingredients are cereals, vegetables, fruits, nuts, and spices. Note: See also Vegan Food."
131,800-078,Grill,"The Grill Food Type should be applied to restaurants which identify themselves as a Grill restaurant, e.g., Gauchos. Grilling is cooking of food over direct high heat on a metal grid. Note: Even though Autogrill contains the word 'grill', this does not qualify for the Grill Food Type. Note: See also Barbecue, Steak House for related Food Types."
132,800-079,Jewish/Kosher,"Jewish/Kosher Food should be applied to restaurants serving food that is traditionally Jewish or kosher, food which confirms to Jewish dietary laws. Typical Jewish dishes are matzo, carciofi alla giudia, chremsel, falafel, gondi, kasha, white fish. Some ingredients are forbidden in kosher cuisine such as pork, shrimp, octopus, and lobster."
133,800-080,Soup,Restaurants specializing in soups.
134,800-081,Lunch,Restaurants specializing in serving lunch.
135,800-082,Dinner,Restaurants specializing in serving dinner.
136,800-083,Natural/Healthy,Restaurants specializing in natural and healthy food.
137,800-084,Organic,Restaurants specializing in organic food.
138,800-085,Noodles,Restaurants specializing in noodles.
